place,title,time,pay,date
인천 미추홀,노랑통닭 인천 주안점,16:00~02:30,"월급 2,300,000",13분전
서울 노원구,노랑통닭 중계점,16:00~03:00,"월급 2,600,000",26분전
인천 남동구,노랑통닭 간석동점,17:00~01:00,"월급 1,800,000",30분전
경기 남양주,노랑통닭 퇴계원점,17:30~23:30,"시급 8,590",30분전
경기 남양주,노랑통닭 퇴계원점,17:30~23:30,"시급 8,590",30분전
경기 이천시,노랑통닭 이천하이닉스점,18:00~12:00,"시급 9,500",38분전
서울 광진구,노랑통닭 건대점,18:30~22:30,"시급 8,700",47분전
서울 광진구,노랑통닭 건대점,18:30~22:30,"시급 8,700",48분전
서울 광진구,노랑통닭 건대점,18:30~22:30,"시급 8,700",49분전
서울 강남구,노랑통닭 논현역점,18:00~02:00,"시급 9,000",1시간전
인천 남동구,노랑통닭 간석동점,17:00~01:00,"월급 1,800,000",1시간전
인천 남동구,노랑통닭 만수역점,15:00~03:00,"월급 2,500,000",1시간전
대구 달서구,노랑통닭 대구 성서점,18:00~21:00,"시급 8,600",1시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급 8,350",1시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급 8,350",1시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급 8,350",1시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급 8,350",1시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급 8,350",1시간전
경기 고양시,노랑통닭 고양점,15:00~02:00,"월급 2,700,000",2시간전
경북 구미시,노랑통닭 구미봉곡점,18:00~24:00,"시급 9,000",2시간전
경기 수원시,노랑통닭 망포점,18:00~24:00,"시급 9,000",2시간전
전국 전체,노랑통닭 철산점,16:00~02:00,"월급 2,500,000",2시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급 8,590",2시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급 8,590",2시간전
경기 구리시,노랑통닭 구리수택점,18:00~24:00,"시급 8,590",2시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급 8,590",2시간전
경기 시흥시,노랑통닭 시흥 목감점,18:00~11:00,"시급 10,000",2시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급 8,590",2시간전
경기 시흥시,노랑통닭 시흥 목감점,18:00~11:00,"시급 10,000",2시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급 8,590",2시간전
경기 수원시,노랑통닭 나혜석거리점,17:00~02:00,"월급 2,200,000",2시간전
서울 강북구,노랑통닭 수유점,16:00~03:00,"월급 2,500,000",2시간전
경기 수원시,노랑통닭 아주대점,17:00~03:00,"월급 2,500,000",3시간전
서울 은평구,노랑통닭 은평 뉴타운점,17:00~00:00,"시급 11,000",3시간전
서울 은평구,노랑통닭 은평 뉴타운점,17:00~00:00,"시급 11,000",3시간전
경북 구미시,노랑통닭 구미봉곡점,18:00~24:00,"시급 9,000",3시간전
경기 안산시,노랑통닭 안산 중앙점,19:00~00:00,"시급 8,590",3시간전
경기 고양시,노랑통닭 원흥점,17:00~24:00,"월급 2,400,000",3시간전
경기 안양시,노랑통닭 안양1번가점,16:00~02:00,"월급 2,500,000",3시간전
대구 북구,노랑통닭 산격점,17:00~00:00,"시급 8,600",3시간전
인천 미추홀,노랑통닭 인천 주안점,16:00~02:30,"월급 2,300,000",4시간전
서울 관악구,노랑통닭 서울대점,18:00~00:00,"시급 9,000",4시간전
서울 관악구,노랑통닭 서울대점,18:00~00:00,"시급 9,000",4시간전
서울 강남구,노랑통닭 논현역점,18:00~02:00,"시급 9,000",4시간전
경기 김포시,노랑통닭 장기점,18:00~00:00,"시급 9,000",4시간전
인천 미추홀,노랑통닭 인천 주안점,16:00~02:30,"월급 2,300,000",4시간전
경기 안양시,노랑통닭 안양1번가점,16:00~02:00,"월급 2,500,000",4시간전
인천 남동구,노랑통닭 만수역점,15:00~03:00,"월급 2,500,000",4시간전
인천 남동구,노랑통닭 만수역점,15:00~03:00,"월급 2,500,000",4시간전
서울 서초구,노랑통닭 강남역점,18:00~23:00,"시급 9,000",4시간전
