place,title,time,pay,date
인천 전체,생각대로 송도서부지사,10:00~01:00,"월급 5,000,000",4분전
인천 전체,생각대로 송도서부지사,10:00~01:00,"월급 5,000,000",4분전
인천 전체,생각대로 송도서부지사,10:00~01:00,"월급 5,000,000",5분전
인천 전체,생각대로 송도지사,09:00~01:00,"월급 5,000,000",5분전
인천 전체,생각대로 송도지사,09:00~01:00,"월급 5,000,000",6분전
인천 전체,생각대로 송도지사,09:00~01:00,"월급 5,000,000",7분전
충남 천안시,생각대로 신부지점,00:00~24:00,"건별 3,200",11분전
경기 남양주,생각대로 남양주2지점,10:00~01:00,"일급 250,000",14분전
경기 남양주,생각대로 남양주2지점,10:00~01:00,"일급 250,000",14분전
경기 구리시,생각대로 남양주2지점,10:00~01:00,"일급 250,000",15분전
부산 중구,생각대로 중구1호점,10:00~02:00,"건별 3,000",24분전
대구 전체,생각대로 중구런닝맨,11:00~04:00,"월급 3,000,000",26분전
부산 남구,생각대로 용호점,10:00~02:00,"시급 15,000",27분전
부산 남구,생각대로 용호점,10:00~02:00,"시급 15,000",28분전
부산 남구,생각대로 용호점,10:00~02:00,"시급 15,000",28분전
부산 남구,생각대로 대연1호점,10:00~02:00,"건별 3,000",48분전
부산 수영구,생각대로 남구용호1호점,10:00~02:00,"건별 3,000",48분전
부산 부산진,생각대로 부산진구8호점,10:00~02:00,"건별 3,000",48분전
부산 강서구,생각대로 명지3호점,10:00~02:00,"건별 3,000",48분전
부산 부산진,생각대로 수영구2호점,10:00~02:00,"건별 3,000",48분전
부산 금정구,생각대로 금정5호점,10:00~02:00,"건별 3,000",49분전
부산 연제구,생각대로 연제구1호점,11:00~02:00,"건별 3,000",49분전
경기 부천시,생각대로 오정남부지사,11:00~01:00,"일급 200,000",1시간전
인천 미추홀,생각대로 용현지사,10:00~02:00,"일급 350,000",1시간전
대구 달서구,생각대로 용산지점,17:00~01:50,"월급 2,500,000",1시간전
대구 달서구,생각대로 용산지점,10:30~24:00,"월급 3,500,000",1시간전
경기 광명시,생각대로 광명지사,10:00~02:00,"건별 3,300",2시간전
서울 서대문,생각대로 연희점,11:00~03:00,"시급 20,000",2시간전
서울 서대문,생각대로 홍제점,11:00~03:00,"시급 20,000",2시간전
부산 북구,생각대로 북구만덕점,09:00~03:00,"월급 4,000,000",2시간전
경기 오산시,생각대로 오산3지사,10:00~03:00,"일급 150,000",2시간전
경기 오산시,생각대로 오산3지사,10:00~03:00,"일급 150,000",2시간전
경기 오산시,생각대로 오산3지사,10:00~03:00,"일급 150,000",2시간전
부산 수영구,생각대로 남구수영3호점,10:00~03:00,"건별 3,500",2시간전
부산 수영구,생각대로 남구수영3호점,10:00~03:00,"건별 3,500",2시간전
부산 수영구,생각대로 남구수영3호점,10:00~03:00,"건별 3,500",2시간전
부산 수영구,생각대로 남구수영1호점,10:00~03:00,"일급 130,000",2시간전
부산 수영구,생각대로 남구수영1호점,10:00~03:00,"일급 130,000",2시간전
부산 수영구,생각대로 남구수영1호점,10:00~03:00,"일급 130,000",2시간전
부산 수영구,생각대로 공유센타1,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 공유센타1,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 공유센타1,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 남구수영4호점,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 남구수영4호점,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 남구수영4호점,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 남구수영2호점,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 남구수영2호점,11:00~02:00,"건별 3,000",2시간전
부산 수영구,생각대로 남구수영2호점,11:00~02:00,"건별 3,000",2시간전
경북 김천시,생각대로 김천혁신도시점,11:00~24:00,"건별 3,000",2시간전
대구 달성군,생각대로 화원나르미,10:00~02:00,"건별 3,000",2시간전
