place,title,time,pay,date
대구 동구,CU 대구공항대로점,08:00~15:00,"시급 8,590",1분전
대구 동구,CU 대구공항대로점,15:00~22:00,"시급 8,590",2분전
경기 이천시,CU 서이천점,14:00~21:00,"시급 8,600",2분전
경기 고양시,CU 일산풍동동문점,00:00~09:00,"시급 11,000",2분전
경북 상주시,CU 상주중앙로점,00:00~09:00,"시급 8,590",3분전
충북 청주시,CU 오창송대점,18:00~01:00,"시급 8,590",3분전
충남 당진시,CU E행담도휴게소상행선,08:00~20:00,"시급 8,600",3분전
경남 김해시,CU 장유남명더라우점,08:00~12:00,"시급 8,590",6분전
경기 시흥시,CU 시흥목감호반점,11:00~20:00,"월급 1,200,000",7분전
대전 서구,CU 대전복수타운점,21:00~06:00,"시급 8,590",10분전
서울 성동구,CU 옥수점,24:00~07:00,"시급 9,000",12분전
대전 서구,CU 만년새천년점,17:00~24:00,"시급 8,590",12분전
경기 용인시,CU 기흥신갈점,01:00~08:00,"시급 8,590",12분전
강원 속초시,CU 속초대우점,23:00~07:00,"시급 8,590",13분전
서울 종로구,CU 종로원서점,22:00~08:00,"시급 8,590",14분전
충남 천안시,CU 천안동부역점,23:00~08:00,"시급 8,590",15분전
충남 천안시,CU 천안동부역점,23:00~08:00,"시급 8,590",15분전
경기 용인시,CU 기흥단지점,23:00~09:00,"시급 8,590",15분전
서울 전체,CU 도림본점,19:00~08:00,"시급 8,590",16분전
대구 달서구,CU 대구진천역점,23:00~08:00,"시급 8,590",17분전
강원 강릉시,CU 주문진점,22:00~08:00,"시급 8,600",17분전
인천 계양구,CU 인천계산점,00:00~08:00,"시급 8,590",18분전
경남 진주시,CU 진주평안사랑점,15:00~22:00,"시급 8,590",18분전
충남 논산시,CU 연무IC점,16:00~23:00,"시급 8,590",19분전
경남 진주시,CU 진주대안점,15:00~22:00,"시급 8,590",20분전
제주 제주시,CU 제주월평점,17:00~10:00,"시급 8,590",20분전
인천 부평구,CU 부평진선미점,24:00~09:00,"시급 8,590",20분전
경기 안산시,CU 안산일동점,22:00~08:00,"시급 8,590",21분전
대구 북구,CU 태전원룸점,06:00~10:00,"시급 8,590",21분전
경기 평택시,CU 송탄지산코아루점,16:00~23:00,"시급 8,590",21분전
서울 송파구,CU 가락대림점,10:00~20:00,"시급 8,590",22분전
충남 아산시,CU 아산배미점,15:00~22:00,"시급 8,590",23분전
대구 북구,CU 태전원룸점,19:00~24:00,"시급 8,590",25분전
부산 연제구,CU 연산더샵점,07:00~15:00,"시급 8,590",25분전
강원 춘천시,CU 춘천E편한점,00:00~08:00,"시급 8,590",25분전
경기 성남시,CU 경원대점,17:00~00:00,"시급 8,590",26분전
경기 고양시,CU 화전양지마을점,22:00~08:00,"시급 8,590",28분전
경기 성남시,CU 성남행복점,15:00~22:00,"시급 8,590",29분전
경기 고양시,CU 화전양지마을점,22:00~08:00,"시급 8,590",30분전
인천 계양구,CU 계양작전점,24:00~09:00,"시급 8,590",31분전
경기 의정부,CU 의정부동심점,24:00~08:00,"시급 8,590",31분전
울산 동구,울산학문로점,10:00~23:00,"시급 8,590",32분전
서울 용산구,서부이촌점,15:00~22:00,"시급 8,590",32분전
부산 북구,CU 구포동원점,09:00~17:00,"시급 8,590",34분전
경기 화성시,CU 발안우림점,16:00~23:00,"시급 8,600",36분전
전남 광양시,CU광양터미널점,08:00~15:00,"시급 8,590",36분전
경기 광주시,CU 오포왕림점,23:00~06:00,"시급 8,590",37분전
대전 유성구,CU 죽동프라임점,22:00~06:00,"시급 8,590",37분전
경기 화성시,CU 발안우림점,22:00~09:00,"시급 9,200",37분전
경기 수원시,CU 수원금곡소망점,09:00~16:00,"시급 8,590",40분전
