place,title,time,pay,date
경기 김포시,교촌치킨 김포 장기1호,12:00~24:00,"시급 14,000",6분전
경기 김포시,교촌치킨 김포 장기1호,12:00~24:00,"시급 14,000",7분전
경기 안양시,교촌치킨 안양1호,18:00~24:00,"시급 11,000",7분전
서울 도봉구,교촌치킨 서울 창3동,16:30~24:30,"시급 8,600",10분전
경기 파주시,교촌치킨 파주 가람마을,17:00~24:30,"시급 8,590",23분전
서울 양천구,교촌치킨 서울 목동오거리,12:00~24:00,"월급 3,000,000",24분전
서울 송파구,교촌치킨 가락2호점,13:00~01:00,"월급 2,800,000",24분전
서울 양천구,교촌치킨 서울 목동오거리,17:00~24:00,"시급 10,000",24분전
서울 양천구,교촌치킨 서울 목동오거리,17:00~24:00,"시급 10,000",25분전
부산 남구,교촌치킨 문현1호,18:00~12:00,"시급 8,600",29분전
서울 관악구,교촌치킨 서울 봉천4호,18:00~01:00,"시급 10,500",31분전
경기 김포시,교촌치킨 양곡점,12:00~24:00,"시급 10,000",34분전
충남 서산시,교촌치킨 서산 석림,18:00~23:00,"시급 8,590",34분전
충남 서산시,교촌치킨 서산 석림,18:00~23:00,"시급 10,000",35분전
부산 금정구,교촌치킨 구서1호,17:00~24:00,"시급 8,590",38분전
부산 금정구,교촌치킨 구서1호,17:00~24:00,"시급 8,590",38분전
부산 금정구,교촌치킨 구서1호,17:00~24:00,"시급 8,590",38분전
광주 전체,교촌치킨 하남2지구,18:00~23:00,"시급 8,590",41분전
광주 북구,교촌치킨 광주 운암2호,18:00~24:00,"시급 10,000",45분전
광주 북구,교촌치킨 광주 운암2호,18:00~24:00,"시급 10,000",46분전
대전 서구,교촌치킨 대전 탄방,18:00~02:00,"월급 10,000",47분전
대전 서구,교촌치킨 대전 탄방,18:00~02:00,"시급 8,600",48분전
경북 경주시,교촌치킨 용강,18:00~23:00,"시급 8,590",48분전
대전 서구,교촌치킨 대전 탄방,18:00~02:00,"시급 8,590",49분전
경기 김포시,교촌치킨 김포 통진1호,18:00~24:00,"시급 10,000",52분전
경기 파주시,교촌치킨 파주 가람마을,17:00~24:30,"시급 8,590",53분전
서울 관악구,교촌치킨 신림1호점,18:00~23:00,"시급 10,000",1시간전
인천 서구,교촌치킨 인천 청라,18:00~02:00,"시급 11,000",1시간전
대전 서구,교촌치킨 도안2호,18:00~22:00,"시급 8,590",1시간전
경기 안양시,교촌치킨 안양1호,18:00~24:00,"시급 11,000",1시간전
서울 강남구,교촌치킨 도곡,17:00~02:30,"월급 2,100,000",1시간전
인천 계양구,교촌치킨 인천 효성2호,18:00~24:00,"시급 9,000",1시간전
인천 계양구,교촌치킨 인천 효성2호,18:00~24:00,"시급 9,000",1시간전
대구 동구,교촌치킨 대구 동구청,17:00~22:00,"시급 8,590",1시간전
대구 동구,교촌치킨 대구 동구청,12:00~17:00,"시급 8,590",1시간전
대구 동구,교촌치킨 대구 동구청,17:00~22:00,"시급 8,590",1시간전
대구 동구,교촌치킨 대구 동구청,12:00~17:00,"시급 8,590",1시간전
경남 양산시,교촌치킨 평산,18:00~24:00,"시급 8,600",1시간전
경기 수원시,교촌치킨 인계점,18:00~24:00,"시급 8,590",2시간전
경기 수원시,교촌치킨 인계점,18:00~24:00,"시급 8,590",2시간전
경기 의정부,교촌치킨 민락,18:00~24:00,"시급 8,600",2시간전
전북 전주시,교촌치킨 전주 서신,18:00~00:00,"시급 8,590",2시간전
경기 고양시,교촌치킨 일산 호수,17:00~24:00,"시급 11,000",2시간전
대구 남구,교촌치킨 앞산,13:00~01:00,"월급 2,500,000",2시간전
경기 수원시,교촌치킨 율전1호,18:00~23:00,"시급 11,000",2시간전
경남 창원시,교촌치킨 중동소답점,18:00~23:00,"시급 8,600",2시간전
부산 금정구,교촌치킨 구서1호,17:00~24:00,"시급 8,590",2시간전
부산 금정구,교촌치킨 구서1호,17:00~24:00,"시급 8,590",2시간전
서울 강동구,교촌치킨 암사2호,11:50~24:20,"월급 2,700,000",2시간전
인천 미추홀,교촌치킨 주안2호점,16:00~01:00,"월급 2,000,000",2시간전
