place,title,time,pay,date
경기 동두천,롯데리아 동두천점,16:00~24:00,"시급 8,590",5분전
부산 사상구,롯데리아 부산신모라점,19:00~23:00,"시급 8,590",7분전
전북 전주시,롯데리아 전주동산점,09:00~18:00,"월급 1,900,000",14분전
전북 전주시,롯데리아 전주동산점,09:00~18:00,"월급 1,900,000",15분전
경기 김포시,롯데리아 롯데리아 김포사우점,14:00~23:00,"월급 2,500,000",20분전
경기 김포시,롯데리아 롯데리아 김포사우점,10:00~23:00,"월급 2,000,000",21분전
경기 김포시,롯데리아 롯데리아 김포사우점,10:00~23:00,"월급 1,500,000",21분전
경기 김포시,롯데리아 롯데리아 김포사우점,17:00~23:00,"시급 12,000",21분전
전남 여수시,롯데리아 여수죽림점,09:00~22:00,"시급 8,590",22분전
대구 달서구,롯데리아 대구상인점,09:00~12:00,"월급 1,745,150",33분전
서울 구로구,롯데리아 신도림역점,17:00~22:00,"시급 8,590",40분전
경남 창원시,롯데리아 창원팔용점,18:30~22:30,"시급 8,590",40분전
서울 강남구,롯데리아 학동역점,16:00~22:00,"시급 8,590",46분전
서울 강남구,롯데리아 학동역점,16:00~22:00,"시급 8,590",46분전
서울 강남구,롯데리아 학동역점,16:00~22:00,"시급 8,590",47분전
대구 달성군,롯데리아 현풍테크노폴리스점,16:00~22:00,"시급 8,590",1시간전
대구 달성군,롯데리아 현풍테크노폴리스점,16:00~22:00,"시급 8,590",1시간전
전남 여수시,롯데리아 여수웅천지구점,09:00~22:00,"시급 8,590",1시간전
경기 안성시,롯데리아 안성중앙점,09:00~24:00,"시급 8,590",1시간전
경기 안성시,롯데리아 안성중앙점,09:00~21:00,"월급 2,600,000",1시간전
경기 안성시,롯데리아 안성중앙점,09:00~21:00,"월급 2,600,000",1시간전
경기 의정부,롯데리아 의정부호원점,09:00~02:00,"월급 1,800,000",1시간전
경기 의정부,롯데리아 의정부호원점,18:00~24:30,"시급 8,590",1시간전
광주 북구,롯데리아 광주신용점,09:00~18:00,"시급 8,590",1시간전
광주 북구,롯데리아 광주신용점,22:00~02:00,"시급 12,885",1시간전
광주 북구,롯데리아 광주신용점,17:00~22:00,"시급 8,590",1시간전
광주 북구,롯데리아 광주신용점,12:00~17:00,"시급 8,590",1시간전
광주 북구,롯데리아 광주신용점,09:00~18:00,"월급 2,800,000",1시간전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"시급 8,590",2시간전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"시급 8,590",2시간전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"시급 8,590",2시간전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"시급 8,590",2시간전
광주 광산구,롯데리아 광주하남2지구점,09:00~18:00,"월급 2,800,000",2시간전
대전 대덕구,롯데리아 대전가양D/T점,07:00~16:00,"월급 1,900,000",2시간전
경북 전체,롯데리아 칠곡석적점,13:00~22:00,"월급 2,000,000",2시간전
경북 칠곡군,롯데리아 칠곡석적점,12:00~16:00,"시급 8,590",2시간전
경기 군포시,롯데리아 군포송정점,09:00~22:00,"시급 8,590",2시간전
경기 군포시,롯데리아 군포송정점,09:00~22:00,"시급 8,590",2시간전
충남 천안시,롯데리아 천안쌍용점,17:00~22:00,"시급 8,590",2시간전
서울 성북구,롯데리아 석관점,00:00~24:00,"시급 8,590",2시간전
서울 성북구,롯데리아 석관점,00:00~24:00,"시급 8,590",2시간전
서울 성북구,롯데리아 석관점,00:00~24:00,"시급 8,590",2시간전
서울 성북구,롯데리아 석관점,00:00~24:00,"시급 8,590",2시간전
서울 성북구,롯데리아 석관점,00:00~24:00,"시급 8,590",2시간전
경기 안양시,롯데리아 안양점,00:00~08:00,"시급 8,590",3시간전
서울 도봉구,롯데리아 방학점,16:00~22:30,"시급 8,590",3시간전
경기 안양시,롯데리아 안양점,00:00~08:00,"시급 8,590",3시간전
경기 평택시,롯데리아 평택진위DT점,15:00~23:00,"월급 1,800,000",3시간전
경기 오산시,롯데리아 평택진위DT점,15:00~23:00,"월급 1,800,000",3시간전
인천 서구,롯데리아 인천당하점,18:00~22:30,"시급 8,590",3시간전
