place,title,time,pay,date
경남 진주시,진주몰점,15:30~20:00,"시급 8,590",9분전
서울 중구,롭스 을지로입구역사점,14:30~20:00,"시급 8,590",42분전
서울 송파구,롭스 잠실캐슬점,17:00~20:00,"시급 8,590",45분전
서울 송파구,롭스 잠실캐슬점,15:30~22:00,"시급 8,590",48분전
서울 송파구,롭스 잠실캐슬점,10:30~15:00,"시급 8,590",50분전
서울 양천구,롭스 염창점,13:00~19:30,"시급 8,590",2시간전
경기 성남시,롭스 정자역점,19:00~23:00,"시급 8,590",2시간전
서울 구로구,롭스 구로디지털점,11:30~17:30,"시급 8,590",2시간전
서울 금천구,롭스 롯데마트금천점,18:00~21:00,"시급 8,590",19시간전
광주 광산구,롯데쇼핑㈜ H&B사업본부 (롭스) 광,17:00~22:30,"시급 8,590",20시간전
서울 용산구,롭스 숙대점,11:00~14:30,"시급 10,308",21시간전
경기 성남시,롭스 수내점,19:00~22:30,"시급 8,590",23시간전
서울 마포구,롭스 홍대점,16:30~23:00,"시급 10,308",04/18
서울 강서구,롭스 화곡점,15:00~17:30,"시급 8,590",04/18
서울 용산구,롭스 이태원점,10:00~16:30,"시급 8,590",04/17
