place,title,time,pay,date
경남 양산시,부릉 양산웅상지점,10:00~24:00,"건별 3,000",27분전
서울 성북구,부릉 성북월곡지점,09:00~24:00,"건별 3,000",38분전
부산 북구,부산북구만덕지점,10:30~03:00,"일급 100,000",59분전
부산 북구,부산북구만덕지점,10:30~03:00,"일급 100,000",59분전
부산 사상구,부산북구만덕지점,10:30~03:00,"일급 100,000",59분전
경기 성남시,부릉 송파위례지점,10:00~01:00,"건별 3,000",1시간전
경기 성남시,부릉 송파위례지점,10:00~01:00,"건별 3,000",1시간전
경기 성남시,부릉 송파위례지점,10:00~01:00,"건별 3,000",1시간전
서울 성북구,부릉 성북보문지점,10:00~24:00,"건별 3,000",1시간전
서울 성북구,부릉 성북보문지점,10:00~24:00,"건별 3,000",1시간전
부산 부산진,부릉 부산 사상지점,10:00~02:00,"건별 3,000",1시간전
부산 사상구,부릉 부산 사상지점,11:00~22:00,"건별 3,000",1시간전
서울 성북구,부릉 성북보문지점,10:00~24:00,"건별 3,000",1시간전
서울 송파구,부릉 송파가락지점,10:00~02:00,"건별 3,000",2시간전
서울 송파구,부릉 송파가락지점,10:00~02:00,"건별 3,000",2시간전
서울 송파구,부릉 송파가락지점,10:00~02:00,"건별 3,000",2시간전
인천 중구,인천미추홀도화지점,10:00~02:00,"일급 250,000",2시간전
인천 미추홀,인천미추홀도화지점,10:00~02:00,"일급 250,000",2시간전
인천 동구,인천미추홀도화지점,10:00~02:00,"일급 250,000",2시간전
인천 미추홀,"부릉 인천 중구,동구지점",10:00~02:00,"일급 250,000",2시간전
인천 중구,"부릉 인천 중구,동구지점",10:00~02:00,"일급 250,000",2시간전
인천 동구,"부릉 인천 중구,동구지점",10:00~02:00,"일급 250,000",2시간전
충북 청주시,부릉 청주서원지점,11:00~03:00,"건별 3,000",2시간전
서울 양천구,[ VROONG ] 부릉 목동지점,09:00~02:00,"건별 3,500",2시간전
서울 양천구,메쉬코리아 VROONG 부릉,09:00~02:00,"건별 3,500",2시간전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"건별 3,000",2시간전
경북 경산시,경산정평지점,11:00~02:00,"일급 200,000",2시간전
서울 강남구,부릉 강남대치지점,10:00~01:00,"건별 3,000",3시간전
부산 해운대,부릉 부산해운대우동지점,10:00~02:00,"건별 3,000",3시간전
부산 해운대,부릉 부산해운대우동지점,10:00~02:00,"건별 3,000",3시간전
부산 해운대,부릉 부산해운대우동지점,10:00~02:00,"건별 3,000",3시간전
대구 수성구,부릉 대구수성시지지점,11:00~24:50,"건별 3,000",3시간전
경남 창원시,창원성산반지지점,00:00~24:00,"일급 100,000",4시간전
경남 창원시,창원성산반지지점,00:00~24:00,"건별 3,000",4시간전
경남 창원시,창원성산반지지점,00:00~24:00,"건별 3,000",4시간전
서울 전체,부릉 동작 신대방지점,09:00~01:00,"일급 150,000",4시간전
서울 동작구,부릉 동작 신대방지점,09:00~01:00,"일급 150,000",4시간전
서울 동작구,부릉 동작 신대방지점,09:00~01:00,"일급 150,000",4시간전
서울 강남구,부릉 강남청담1지점,09:00~09:00,"건별 3,000",4시간전
서울 강남구,부릉 강남청담1지점,09:00~09:00,"건별 3,000",4시간전
서울 강남구,부릉 강남청담1지점,09:00~09:00,"건별 3,000",4시간전
경기 고양시,부릉 고양삼송지점,10:30~24:30,"월급 5,000,000",4시간전
경기 고양시,부릉 고양삼송지점,10:30~24:30,"월급 5,000,000",4시간전
경기 고양시,부릉 고양삼송지점,10:30~24:30,"월급 5,000,000",4시간전
부산 사하구,부릉 부산하단지점,10:00~24:00,"건별 3,000",5시간전
부산 사하구,부릉 부산하단지점,10:00~24:00,"건별 3,000",5시간전
경기 의정부,부릉 의정부민락지점,10:00~01:00,"건별 3,000",5시간전
경기 의정부,부릉 의정부민락지점,10:00~01:00,"건별 3,000",5시간전
경기 의정부,부릉 의정부민락지점,10:00~01:00,"건별 3,000",5시간전
경기 평택시,부릉 평택비전지점,10:00~02:00,"월급 5,000,000",6시간전
