place,title,time,pay,date
인천 연수구,홍콩반점0410 인천연수점,11:00~15:00,"시급 8,590",2분전
서울 강서구,더본코리아 홍콩반점0410 우장산역점,17:00~21:00,"시급 10,308",7분전
경남 양산시,홍콩반점0410 양산역점,10:00~22:00,"월급 2,300,000",8분전
서울 강서구,더본코리아 홍콩반점0410 우장산역점,12:00~17:00,"시급 10,308",8분전
서울 강서구,더본코리아 홍콩반점0410 우장산역점,09:30~21:30,"월급 2,800,000",12분전
인천 전체,더본코리아 홍콩반점0410 인천석바위,10:00~22:00,"월급 2,300,000",23분전
광주 서구,더본코리아 한신포차 광주상무점,21:00~07:00,"시급 8,800",24분전
경기 부천시,홍콩반점0410 부천원종점,18:00~22:00,"시급 8,600",25분전
경기 부천시,홍콩반점0410 부천원종점,18:00~22:00,"시급 8,600",26분전
강원 원주시,더본코리아 홍콩반점0410 원주중앙점,09:30~14:00,"시급 8,590",26분전
경기 부천시,홍콩반점0410 부천원종점,18:00~22:00,"시급 8,600",26분전
강원 춘천시,더본코리아 역전우동0410 춘천석사점,19:00~22:00,"시급 9,000",27분전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급 1,850,000",27분전
경기 부천시,홍콩반점0410 부천원종점,18:00~22:00,"시급 8,600",27분전
경남 양산시,홍콩반점0410 양산역점,10:00~22:00,"월급 2,300,000",27분전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급 1,850,000",27분전
서울 광진구,더본코리아 리춘시장 건대지점,18:00~03:00,"월급 2,805,860",28분전
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급 2,450,000",30분전
강원 원주시,홍콩반점0410 원주단구점,10:00~14:00,"시급 8,590",30분전
경기 부천시,홍콩반점0410 부천원종점,18:00~22:00,"시급 8,600",32분전
경북 포항시,더본코리아 백스비어 포항창포점,17:30~02:30,"시급 8,590",33분전
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급 2,450,000",34분전
경기 수원시,홍콩반점0410 아주대점,10:30~21:00,"월급 2,000,000",35분전
충북 충주시,새마을식당 충주신연수점,17:30~05:30,"월급 2,200,000",38분전
충북 충주시,새마을식당 충주신연수점,17:30~05:30,"월급 2,200,000",38분전
강원 원주시,더본코리아 한신포차 충주신연수점,20:00~02:00,"시급 9,000",40분전
강원 원주시,더본코리아 한신포차 충주신연수점,20:00~02:00,"시급 9,000",40분전
강원 원주시,더본코리아 한신포차 충주신연수점,20:00~02:00,"시급 9,000",41분전
강원 원주시,더본코리아 한신포차 충주신연수점,05:30~05:30,"월급 2,300,000",41분전
강원 원주시,더본코리아 한신포차 충주신연수점,05:30~05:30,"월급 2,300,000",42분전
