place,title,time,pay,date
서울 강남구,버거킹 대치점,01:00~00:00,"시급 8,590",10분전
서울 강남구,버거킹 대치점,01:00~00:00,"시급 8,590",11분전
경기 수원시,버거킹 수원역사1점,00:00~24:00,"시급 8,590",11분전
강원 춘천시,춘천거두GS점,08:00~24:00,"시급 8,590",11분전
인천 서구,인천청라점,18:00~24:00,"시급 8,590",15분전
경기 이천시,이천CGV점,18:00~24:00,"시급 8,590",17분전
서울 구로구,버거킹 구로디지털점,08:00~13:00,"시급 8,590",32분전
경기 수원시,버거킹 수원호매실SK점,18:00~02:00,"시급 8,590",41분전
인천 연수구,버거킹 인천송도SK점,18:00~02:00,"시급 8,590",42분전
서울 강남구,버거킹 수서점,00:00~24:00,"시급 8,590",43분전
서울 강남구,버거킹 수서점,00:00~24:00,"시급 8,590",43분전
경북 안동시,버거킹 경북도청점(S),09:00~23:00,"시급 8,590",48분전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"시급 8,590",48분전
경북 안동시,버거킹 경북도청점(S),09:00~23:00,"월급 2,000,000",49분전
경기 수원시,버거킹 수원역사1점,00:00~24:00,"시급 8,590",49분전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"월급 2,000,000",49분전
부산 금정구,버거킹 부산대점,09:00~18:00,"시급 8,590",51분전
경북 안동시,버거킹 경북도청점(S),09:00~23:00,"시급 8,590",52분전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"시급 8,590",52분전
경북 안동시,버거킹 경북도청점(S),09:00~23:00,"월급 2,000,000",53분전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"월급 2,000,000",54분전
서울 강남구,버거킹 강남대로점,09:00~24:00,"시급 8,590",1시간전
충북 청주시,버거킹 오창호수공원점,16:00~23:00,"시급 8,590",1시간전
광주 북구,전남대후문점,08:00~15:00,"시급 8,590",1시간전
대구 달성군,대구테크노폴리스점,16:00~23:00,"시급 8,590",1시간전
광주 북구,전남대후문점,08:00~15:00,"시급 8,590",1시간전
경기 화성시,동탄점,08:00~24:00,"시급 8,590",1시간전
인천 남동구,버거킹 인천구월아시아드SK점,13:00~20:00,"시급 8,590",1시간전
경북 안동시,버거킹 경북도청점(S),09:00~23:00,"시급 8,590",2시간전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"시급 8,590",2시간전
경북 안동시,버거킹 경북도청점(S),09:00~23:00,"월급 2,000,000",2시간전
경기 평택시,평택비전점(S),17:00~23:00,"시급 8,590",2시간전
경기 이천시,이천CGV점,18:00~24:00,"시급 8,590",2시간전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"월급 2,000,000",2시간전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급 8,590",2시간전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급 8,590",2시간전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급 8,590",2시간전
울산 남구,버거킹 삼산현대점,17:00~21:00,"시급 8,590",2시간전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급 8,590",2시간전
대구 동구,버거킹 대구이시아폴리스점(S),15:00~20:00,"시급 8,590",2시간전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급 8,590",2시간전
경북 포항시,버거킹 포항버스터미널점,07:00~13:00,"시급 8,590",2시간전
경기 시흥시,버거킹 배곧아브뉴프랑점,08:00~13:00,"시급 8,590",2시간전
경남 김해시,버거킹 동김해DT점,08:00~24:00,"시급 8,590",2시간전
경기 남양주,버거킹 남양주다산지금점,08:00~24:00,"시급 8,590",2시간전
경기 남양주,버거킹 남양주다산지금점,08:00~24:00,"시급 8,590",2시간전
경기 남양주,버거킹 남양주다산지금점,08:00~24:00,"시급 8,590",2시간전
경기 의정부,버거킹 의정부용현FS점,10:00~22:00,"시급 8,590",2시간전
경기 남양주,버거킹 남양주다산지금점,08:00~24:00,"시급 8,590",2시간전
충북 청주시,버거킹 오창호수공원점,16:00~23:00,"시급 8,590",2시간전
