place,title,time,pay,date
경기 안산시,아소비 안산지사,14:00~19:00,"월급 1,800,000",30분전
인천 연수구,아소비 인천지사,14:00~18:00,"월급 1,800,000",36분전
인천 부평구,아소비 인천지사,14:00~18:00,"월급 1,800,000",36분전
인천 서구,아소비 인천지사,14:00~18:00,"월급 1,800,000",39분전
경기 안산시,아소비 안산지사,14:00~19:00,"월급 1,800,000",43분전
경기 안산시,아소비 안산지사,13:00~19:00,"월급 1,800,000",44분전
서울 노원구,아소비 노원중랑지사,14:00~18:00,"월급 1,800,000",1시간전
서울 노원구,아소비 노원중랑지사,14:00~18:00,"월급 1,800,000",1시간전
서울 중랑구,아소비 노원중랑지사,14:00~18:00,"월급 1,800,000",1시간전
경기 남양주,아소비 남양주구리지사,14:00~18:00,"월급 1,800,000",1시간전
경기 남양주,아소비 남양주구리지사,14:00~18:00,"월급 1,800,000",1시간전
경기 남양주,아소비 남양주구리지사,14:00~18:00,"월급 1,800,000",1시간전
서울 강북구,아소비 강북도봉지사,14:00~18:00,"월급 2,000,000",2시간전
서울 강북구,아소비 강북도봉지사,14:00~18:00,"월급 2,000,000",2시간전
서울 강북구,아소비 강북도봉지사,14:00~18:00,"월급 2,000,000",2시간전
서울 성북구,아소비 성북지사,14:00~18:00,"월급 2,000,000",2시간전
서울 성북구,아소비 성북지사,14:00~18:00,"월급 2,000,000",2시간전
서울 도봉구,아소비 성북지사,14:00~18:00,"월급 2,000,000",2시간전
서울 동대문,아소비 동대문성동지사,14:00~19:00,"월급 2,500,000",2시간전
서울 광진구,아소비 동대문성동지사,14:00~19:00,"월급 2,500,000",2시간전
서울 성동구,아소비 동대문성동지사,14:00~19:00,"월급 2,500,000",2시간전
경남 진주시,아소비 진주거제지사,13:00~18:00,"월급 1,700,000",4시간전
경남 진주시,아소비 진주거제지사,13:00~18:00,"월급 1,700,000",4시간전
경남 진주시,아소비 진주거제지사,13:00~18:00,"월급 1,700,000",4시간전
경남 창원시,아소비 통합창원마산지사,13:00~19:00,"월급 1,700,000",4시간전
경남 창원시,아소비 통합창원마산지사,13:00~19:00,"월급 1,700,000",4시간전
경남 창원시,아소비 통합창원마산지사,13:00~19:00,"월급 1,700,000",4시간전
경기 의왕시,아소비 군포의왕지사,14:00~18:00,"월급 2,000,000",4시간전
