place,title,time,pay,date
서울 관악구,장원교육 서울관악,13:00~22:00,"월급 1,800,000",33분전
경기 성남시,장원교육 분당남부,11:00~21:00,"월급 1,500,000",36분전
대전 대덕구,장원교육 동대전,10:00~10:00,"월급 1,800,000",37분전
경기 안산시,장원교육 안산상록,10:00~21:00,"월급 1,800,000",39분전
서울 구로구,장원교육 서울영등포,10:00~20:00,"월급 1,800,000",41분전
서울 강남구,장원교육 서울강남,14:00~21:00,"월급 1,800,000",49분전
서울 강남구,장원교육 서울강남,14:00~21:00,"월급 1,800,000",50분전
대구 동구,장원교육 대구동구,15:00~21:30,"월급 1,800,000",50분전
서울 강남구,장원교육 서울강남,14:00~21:00,"월급 1,800,000",50분전
경기 성남시,장원교육 분당남부,11:00~21:00,"월급 1,500,000",59분전
서울 구로구,장원교육 서울영등포,10:00~20:00,"월급 1,800,000",1시간전
서울 서초구,장원교육 서울서초,10:00~21:00,"연봉 19,000,000",2시간전
서울 서초구,장원교육 서울서초,10:00~21:00,"연봉 19,000,000",2시간전
서울 서초구,장원교육 서울서초,10:00~21:00,"연봉 19,000,000",2시간전
충북 청주시,장원교육 청주,14:00~22:00,"월급 1,800,000",2시간전
경기 성남시,장원교육 위례,10:00~20:00,"연봉 20,000,000",3시간전
대구 달서구,장원교육 월배,10:00~22:00,"월급 1,500,000",4시간전
대구 수성구,장원교육 수성,14:00~22:00,"월급 1,500,000",4시간전
경기 성남시,장원교육 분당북부,10:00~20:00,"월급 1,800,000",4시간전
경기 성남시,장원교육 분당북부,10:00~20:00,"월급 1,800,000",4시간전
경기 성남시,장원교육 분당북부,10:00~20:00,"월급 1,800,000",4시간전
경남 김해시,장원교육 김해장유,14:00~21:00,"연봉 10,000,000",18시간전
경북 칠곡군,장원교육 왜관,09:30~18:30,"월급 2,000,000",18시간전
대구 동구,장원교육 대구동구,15:00~21:30,"월급 1,800,000",18시간전
충북 청주시,장원교육 청원,14:00~21:00,"월급 1,800,000",18시간전
경기 군포시,장원교육 군포과천,10:00~21:00,"월급 2,000,000",19시간전
충북 제천시,장원교육 제천,16:20~21:00,"월급 1,200,000",19시간전
충북 제천시,장원교육 제천,16:20~21:00,"월급 1,500,000",19시간전
강원 춘천시,장원교육 춘천서,10:00~18:00,"월급 2,000,000",19시간전
대구 달서구,장원교육 월배,10:00~22:00,"월급 1,500,000",04/18
부산 연제구,장원교육 부산연제,15:00~21:30,"월급 1,500,000",04/17
경기 수원시,장원교육 수원장안,10:00~21:00,"월급 2,000,000",04/17
대구 전체,장원교육 강북,14:00~22:00,"월급 1,800,000",04/13
대구 수성구,장원교육 수성,14:00~22:00,"월급 1,500,000",04/13
서울 관악구,장원교육 서울관악,13:00~22:00,"월급 1,800,000",04/13
대구 달서구,장원교육 월배,10:00~22:00,"월급 1,500,000",04/11
경기 성남시,장원교육 분당북부,10:00~20:00,"월급 1,800,000",04/10
경기 안성시,장원교육 안성,15:00~21:00,"월급 1,700,000",04/10
경기 안성시,장원교육 안성,15:00~21:00,"월급 1,700,000",04/10
서울 관악구,장원교육 서울관악,13:00~21:00,"월급 1,800,000",04/10
대전 서구,장원교육 서대전,14:00~22:00,"연봉 22,000,000",04/10
인천 연수구,장원교육 인천연수,10:00~20:00,"월급 1,800,000",04/10
경기 고양시,장원교육 일산서부,09:30~06:30,"월급 1,800,000",04/10
경기 안양시,장원교육 안양만안,14:00~21:00,"월급 1,600,000",04/10
서울 강남구,장원교육 서울강남,14:00~21:00,"월급 1,800,000",04/10
충북 청주시,장원교육 청주,14:00~22:00,"월급 1,800,000",04/06
