place,title,time,pay,date
경기 용인시,(주)지오다노,12:00~21:00,"월급 1,900,000",04/17
경기 전체,(주)지오다노,09:30~21:00,"연봉 21,600,000",04/15
경기 용인시,(주)지오다노,12:00~21:00,"월급 1,900,000",04/14
경기 전체,(주)지오다노,09:30~21:00,"연봉 21,600,000",04/13
경기 전체,(주)지오다노,09:30~21:00,"연봉 21,600,000",04/11
경기 용인시,(주)지오다노,12:00~21:00,"월급 1,900,000",04/10
경기 용인시,(주)지오다노,12:00~21:00,"월급 1,900,000",04/08
경기 전체,(주)지오다노,09:30~21:00,"연봉 21,600,000",04/08
경기 전체,(주)지오다노,09:30~21:00,"연봉 21,600,000",04/07
경기 용인시,(주)지오다노,12:00~21:00,"월급 1,900,000",04/06
