place,title,time,pay,date
전북 전주시,한솔교육전주중앙지점,10:00~21:00,"월급 1,500,000",4분전
충남 서산시,한솔교육 서산지점,15:00~21:00,"월급 2,000,000",8분전
충남 서산시,한솔교육 서산지점,15:00~21:00,"월급 2,000,000",8분전
충남 당진시,한솔교육 서산지점,15:00~21:00,"월급 2,000,000",9분전
전남 목포시,한솔교육 주니어플라톤,14:00~20:00,"월급 1,500,000",9분전
경기 시흥시,한솔교육 시흥지점,15:00~20:30,"월급 1,900,000",9분전
경남 김해시,한솔교육 김해지점,15:00~21:00,"월급 1,700,000",10분전
경남 김해시,한솔교육 김해지점,15:00~21:00,"월급 1,700,000",11분전
경남 김해시,한솔교육 김해지점,15:00~21:00,"월급 1,700,000",11분전
경기 광주시,한솔교육 경기광주지점,14:00~20:00,"월급 2,000,000",15분전
전남 목포시,한솔교육 주니어플라톤,14:00~20:00,"월급 1,500,000",17분전
경기 광주시,한솔교육 경기광주지점,14:00~20:00,"월급 2,000,000",34분전
세종 종촌동,한솔교육세종지점,15:00~21:30,"월급 2,000,000",34분전
경기 광주시,한솔교육 경기광주지점,14:00~20:00,"월급 2,000,000",34분전
대전 유성구,한솔교육대전유성지점,14:00~20:00,"월급 2,400,000",36분전
대전 유성구,한솔교육대전유성지점,14:00~20:00,"월급 2,400,000",36분전
대전 유성구,한솔교육대전유성지점,14:00~20:00,"월급 2,400,000",37분전
전남 목포시,한솔교육 주니어플라톤,14:00~20:00,"월급 1,500,000",44분전
경기 시흥시,한솔교육 시흥지점,15:00~20:30,"월급 1,900,000",46분전
경남 창원시,한솔교육 마산진해지점,14:00~21:00,"월급 1,600,000",48분전
경남 창원시,한솔교육 마산진해지점,14:00~21:00,"월급 1,600,000",48분전
경남 창원시,(주)한솔교육 마산진해지점,15:00~21:00,"월급 1,600,000",49분전
전남 여수시,(주)한솔교육 여수지점,13:00~21:00,"월급 2,000,000",56분전
전남 여수시,(주)한솔교육 여수지점,13:00~21:00,"월급 2,000,000",57분전
전남 여수시,(주)한솔교육 여수지점,13:00~21:00,"월급 2,000,000",58분전
광주 전체,(주) 광주 주니어플라톤센터,13:00~20:00,"월급 1,800,000",1시간전
경남 창원시,한솔교육 창원지점.,10:30~21:00,"월급 1,600,000",1시간전
경남 창원시,한솔교육 창원지점,10:00~21:00,"월급 1,500,000",1시간전
경남 창원시,한솔교육 창원지점,10:00~21:00,"연봉 20,000,000",1시간전
광주 전체,(주) 광주 주니어플라톤센터,13:00~20:00,"월급 2,100,000",1시간전
전남 순천시,순천플라톤센터,13:00~21:00,"월급 1,800,000",1시간전
전남 여수시,(주)한솔교육여수센터,13:00~21:00,"월급 1,800,000",1시간전
경기 고양시,한솔교육파주 일산지점,14:00~21:00,"월급 1,700,000",2시간전
경기 고양시,한솔교육파주 일산지점,14:00~21:00,"월급 1,700,000",2시간전
경기 고양시,한솔교육파주 일산지점,14:00~21:00,"월급 1,700,000",2시간전
경기 김포시,김포플라톤센터,10:00~19:00,"월급 1,580,000",2시간전
광주 전체,한솔교육광주영어지점,15:00~21:00,"월급 2,500,000",3시간전
광주 전체,한솔교육광주영어지점,15:00~21:00,"월급 2,500,000",3시간전
광주 전체,한솔교육광주영어지점,15:00~21:00,"월급 2,500,000",3시간전
서울 송파구,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
서울 광진구,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
인천 서구,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
울산 울주군,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
울산 북구,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
울산 중구,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
서울 성북구,한솔교육,15:00~21:00,"월급 1,800,000",3시간전
경기 의정부,한솔교육,15:00~21:00,"월급 1,800,000",3시간전
경기 양주시,한솔교육,15:00~21:00,"월급 1,800,000",3시간전
경기 안양시,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
서울 성동구,(주)한솔교육,15:00~21:00,"월급 1,800,000",3시간전
